feature,importance,rank
feature_0,0.0,1
feature_68,0.0,2
feature_79,0.0,3
feature_78,0.0,4
feature_77,0.0,5
feature_76,0.0,6
feature_75,0.0,7
feature_74,0.0,8
feature_73,0.0,9
feature_72,0.0,10
feature_71,0.0,11
feature_70,0.0,12
feature_69,0.0,13
feature_67,0.0,14
feature_1,0.0,15
feature_66,0.0,16
feature_65,0.0,17
feature_64,0.0,18
feature_63,0.0,19
feature_62,0.0,20
feature_61,0.0,21
feature_60,0.0,22
feature_59,0.0,23
feature_58,0.0,24
feature_57,0.0,25
feature_56,0.0,26
feature_80,0.0,27
feature_81,0.0,28
feature_82,0.0,29
feature_83,0.0,30
feature_106,0.0,31
feature_105,0.0,32
feature_104,0.0,33
feature_103,0.0,34
feature_102,0.0,35
feature_101,0.0,36
feature_100,0.0,37
feature_99,0.0,38
feature_98,0.0,39
feature_97,0.0,40
feature_96,0.0,41
feature_95,0.0,42
feature_94,0.0,43
feature_93,0.0,44
feature_92,0.0,45
feature_91,0.0,46
feature_90,0.0,47
feature_89,0.0,48
feature_88,0.0,49
feature_87,0.0,50
feature_86,0.0,51
feature_85,0.0,52
feature_84,0.0,53
feature_55,0.0,54
feature_54,0.0,55
feature_53,0.0,56
feature_26,0.0,57
feature_24,0.0,58
feature_23,0.0,59
feature_22,0.0,60
feature_21,0.0,61
feature_20,0.0,62
feature_19,0.0,63
feature_18,0.0,64
feature_17,0.0,65
feature_16,0.0,66
feature_15,0.0,67
feature_14,0.0,68
feature_13,0.0,69
feature_12,0.0,70
feature_11,0.0,71
feature_10,0.0,72
feature_9,0.0,73
feature_8,0.0,74
feature_7,0.0,75
feature_6,0.0,76
feature_5,0.0,77
feature_4,0.0,78
feature_3,0.0,79
feature_2,0.0,80
feature_25,0.0,81
feature_27,0.0,82
feature_52,0.0,83
feature_28,0.0,84
feature_51,0.0,85
feature_50,0.0,86
feature_49,0.0,87
feature_48,0.0,88
feature_47,0.0,89
feature_46,0.0,90
feature_45,0.0,91
feature_44,0.0,92
feature_43,0.0,93
feature_42,0.0,94
feature_41,0.0,95
feature_40,0.0,96
feature_39,0.0,97
feature_38,0.0,98
feature_37,0.0,99
feature_36,0.0,100
feature_35,0.0,101
feature_34,0.0,102
feature_33,0.0,103
feature_32,0.0,104
feature_31,0.0,105
feature_30,0.0,106
feature_29,0.0,107
feature_107,0.0,108
