experiment,dataset,model,explainer,runs,fidelity_mean,fidelity_std,stability_mean,stability_std,sparsity_mean,sparsity_std,faithfulness_gap_mean,faithfulness_gap_std,cost_mean,cost_std,duration_s_mean,duration_s_std
exp1,adult,rf,lime,1,0.1075,0.0,0.0861,0.0,0.0926,0.0,0.1772,0.0,42.8608,0.0,102.423522,0.0
exp1,adult,rf,shap,1,0.5788,0.0,0.9464,0.0,0.4573,0.0,0.23638939436015144,0.0,0.1907,0.0,9.354438,0.0
exp1,adult,xgboost,lime,1,0.5083,0.0,0.121,0.0,0.0926,0.0,0.32274148978991435,0.0,19.1896,0.0,42.773474,0.0
exp1,adult,xgboost,shap,1,0.3463,0.0,0.4516,0.0,0.2286,0.0,0.25527455187111625,0.0,0.0187,0.0,0.54208,0.0
exp2,adult,logreg,anchors,7,0.49893499156463905,0.006324407649559265,0.04491089706317905,0.10919214487322428,0.03522321428571428,0.0012060974475936917,0.23209929443497326,0.004678795981700886,2026.8424315895961,1936.4231810817419,1187.6305911428572,609.9109058086838
exp2,adult,logreg,dice,13,0.1681576589038634,0.010016679229382246,0.34668527812289895,0.012530296965205174,0.017629985754985755,0.00036716118348816863,0.06355431877382546,0.0040567631091752146,776.6646686077872,896.4156833839492,5332.1108089230775,3680.163230657979
exp2,adult,logreg,lime,15,0.657042947255829,0.01196197229381704,0.01802284047094028,0.013732905887470443,0.08502314814814814,0.001998714471685056,0.315372900914535,0.005289631398636708,7.589749339917034,12.922260941225241,27.890681066666666,16.993367734958124
exp2,adult,logreg,shap,15,0.9460448661031884,0.010241332306764715,0.8800864191390512,0.011366755027725764,0.09259259259259257,0.0,0.3531518299439882,0.004226162677151887,85.25044458197165,151.92362449163448,372.97540826666665,273.0105125307776
exp2,adult,mlp,anchors,7,0.29890518176627556,0.008580374407010646,0.00022796148652633966,0.00013849294819494483,0.14690145502645502,0.004052355729745533,0.2436091000394317,0.011249911393389617,10351.583621635102,774.7236311242322,7158.257409,4421.944079812993
exp2,adult,mlp,dice,13,0.025611438436004406,0.006087772784781428,0.13064048365848202,0.008378894216101293,0.015441595441595441,0.00027836499222342015,0.07193253925618855,0.00607218421055218,892.6186281478977,854.872886258177,5566.378692846154,6046.392626179179
exp2,adult,mlp,lime,15,0.5413782894793202,0.013685105367696326,0.007171403470405803,0.005832479526584863,0.08467129629629629,0.0007501428761943133,0.35114233787091037,0.01598660363167758,3.2201853599635797,0.2295438082912372,23.953711533333333,12.586736207111198
exp2,adult,mlp,shap,15,0.7248287490176192,0.005848686381424846,0.3313364179353635,0.011846220337459966,0.09259259259259257,0.0,0.3755272340172999,0.01181627378588984,534.6713386023426,152.78404552156866,5702.009482333333,3827.8791014121357
exp2,adult,rf,anchors,15,0.31476983409179277,0.03104079659379287,0.0014484075877271377,0.00163237673665647,0.14225531500295652,0.06619420442653506,0.1880064341471558,0.014765572860658842,64130.63891922401,85265.5036639497,21119.9518352,12805.491664516361
exp2,adult,rf,dice,15,0.12862919718754992,0.011969932479463635,0.39829171288341036,0.021782678656985077,0.018770519587233775,0.0013442747930969845,0.0932283188380346,0.024379578836011762,1963.3662574616885,1654.8075075553347,11635.348182,6897.686468322101
exp2,adult,rf,lime,15,0.4570838352867199,0.00984279932353649,0.018066520855899583,0.014078426612262227,0.08413812533773847,0.0009285739043149709,0.3341776087664151,0.014200963640745837,24.652218285254552,13.529931040235327,197.2743174,148.37868201979464
exp2,adult,rf,shap,15,0.7286688282717699,0.0070119918356972245,0.9487480289790874,0.006980511592317244,0.47827753413323104,0.02365308885719664,0.39258228805924805,0.009643795630094577,321.8784658179703,286.6985459029632,1144.1293073333334,1128.102121213406
exp2,adult,svm,anchors,15,0.5132136875734187,0.010971817169573331,0.08711531181600624,0.151456665459295,0.04262329679240947,0.0020280892452838027,0.29441333327911795,0.0059176880470830275,68288.79083935494,63179.51651822183,17484.167882066668,16216.822859328471
exp2,adult,svm,dice,13,0.20190336465760778,0.059815096068501133,0.3645358856797732,0.10558911706289709,0.014298433048433049,0.004133637534639668,0.061037776961728504,0.015737148453995816,4527.05513240909,4384.924501493128,30233.989780692307,38398.757656945876
exp2,adult,svm,lime,15,0.5926375858359295,0.005895968212271441,0.018671495864658064,0.01416307700428579,0.08508487654320987,0.0008892190369826557,0.29741072710848565,0.005623214636050808,1088.0391882139295,1121.4007798608309,6932.6392817999995,4136.312978391959
exp2,adult,svm,shap,15,0.881950471131179,0.005440052482104361,0.9248115729895154,0.003170189337677498,0.09259259259259257,0.0,0.34509813771322956,0.005133373532978491,54230.468728095155,12941.930081321467,379383.0831583333,155332.8149080689
exp2,adult,xgb,anchors,13,0.3162160480953979,0.007695434375373923,0.10192902650129469,0.15211923016334183,0.05823539886039886,0.0026169444171984845,0.2205446726877059,0.007529381598913426,7571.270479862156,7869.657929881908,26430.945316615383,49595.03021579424
exp2,adult,xgb,dice,14,0.32810992224813806,0.0116472053436878,0.569624156950649,0.013160962666319671,0.016724537037037038,0.0002721050502787913,0.1833403825914346,0.00928742442633902,2130.3684704928623,3394.8002902272,7914.905017142857,5930.688970658128
exp2,adult,xgb,lime,15,0.5528221814353451,0.014336027397387926,0.010092371808472663,0.00833638981579652,0.08431790123456788,0.001281987180632556,0.3729833748805298,0.009513390580523402,8.790347379410377,11.36454356473099,40.30848686666667,23.06115602994795
exp2,adult,xgb,shap,15,0.7589225796193333,0.04139215043679123,0.5751660165664356,0.03289143277427388,0.37603858024691356,0.01720149436858384,0.43143888589272195,0.005606781113639574,1.1930670852173837,0.5037037751921165,8.834195333333334,4.0075042548703
exp3,breast_cancer,rf,anchors,3,0.2648072932384318,0.05601619992796506,0.30384113462615264,0.020427852280128674,0.06881091617933723,0.0006008200782620829,0.10087719298245615,0.023139390977169133,4344.5537052629925,296.5584459938281,6710.7250613333335,131.2595004010091
exp3,breast_cancer,rf,shap,3,0.7785030357893467,0.044873045607010525,0.9531223982273831,0.013269355654534775,0.9785575048732944,0.002767070090950923,0.27780701754385967,0.020097229547317783,1004.8491157314261,2.241210934953649,125.38709533333333,5.255931966192435
exp3,breast_cancer,xgb,anchors,3,0.20794773439535075,0.06896081228480981,0.47999191957891185,0.02613164541286742,0.06900584795321636,0.00023874169032974332,0.09047775640294,0.020293974255784695,2111.7217529242403,226.0600952007916,2560.967513,141.98630050187134
exp3,breast_cancer,xgb,shap,3,0.6065034656693572,0.060762047463087526,0.9531139450379349,0.011077560263482306,0.3333333333333333,0.0,0.34852766607750524,0.08101834635087514,1002.6472748518644,0.16469155686968376,338.336954,1.4334219708257485
exp3,german_credit,rf,anchors,3,0.3510069270604326,0.00515394649786621,0.6720591529392967,0.003797984173170206,0.11477872519716191,0.004896275721891842,0.10908102282747134,0.0035177590361608747,3255.564961856314,66.37289798974345,7706.6830193333335,386.46358305999547
exp3,german_credit,rf,shap,3,0.7136897607069786,0.001651271233577741,0.9852688147433968,0.0018200915021166734,0.9081972209864191,0.011869960186869673,0.14852084081730402,0.004698315588638138,1003.6347679586958,0.27581863031724985,204.251139,2.3616793479934315
exp3,german_credit,xgb,anchors,3,0.4507031221818755,0.019851227174526045,0.6773141538616031,0.030455452455786056,0.06759621609882623,0.002660294929547769,0.21640123227836103,0.012371245694693406,1265.6761058059565,30.596039257774827,1759.5302733333333,155.5541273002743
exp3,german_credit,xgb,shap,3,0.710803898572865,0.04065349028156151,0.6014243426428417,0.009547291303703085,0.805436961609688,0.0338810703966266,0.2230490467661711,0.008076380109840567,1001.3991958304281,0.0272011353154944,183.286404,2.4537403310710424
